,count,mean,std,min,25%,50%,75%,max
latitude,120627.0,19.18917468643007,24.430056454502342,-41.3,3.75,17.25,40.4,64.15
longitude,120627.0,22.001924099082295,65.79170207306272,-175.2,-6.8361,23.3167,50.58,179.22
temperature_celsius,120627.0,21.806232435524386,9.43199573358878,-29.8,16.5,24.2,28.1,49.2
wind_kph,120627.0,13.014118729637643,11.957076098731742,3.6,6.5,11.2,18.0,2963.2
wind_degree,120627.0,169.50282275112536,103.3360079574736,1.0,81.0,162.0,256.0,360.0
pressure_mb,120627.0,1014.1107546403375,10.680838777754207,947.0,1010.0,1014.0,1018.0,3006.0
precip_mm,120627.0,0.13782776658625348,0.5765529477197818,0.0,0.0,0.0,0.03,42.24
humidity,120627.0,65.8800185696403,24.04789352662686,2.0,49.0,71.0,84.0,100.0
cloud,120627.0,39.92264584214148,34.0244873163558,0.0,0.0,30.0,75.0,100.0
feels_like_celsius,120627.0,22.732207548890383,11.270811834712323,-36.7,16.5,25.4,30.2,51.2
visibility_km,120627.0,9.537188191698375,2.650644862897233,0.0,10.0,10.0,10.0,32.0
uv_index,120627.0,3.499966839928043,3.5731277224931124,0.0,0.2,2.3,6.0,16.3
gust_kph,120627.0,18.310848317540852,14.073070702055698,3.6,10.4,15.5,24.3,2970.4
air_quality_Carbon_Monoxide,120627.0,482.2971034760045,792.0175924301379,-9999.0,213.85,307.1,477.3,38879.398
air_quality_Ozone,120627.0,59.36798643753057,31.30067460757159,0.0,39.0,56.0,75.0,480.7
air_quality_Nitrogen_dioxide,120627.0,15.35532428063369,24.526625369907986,0.0,1.6,5.365,17.85,427.7
air_quality_Sulphur_dioxide,120627.0,10.789536753794756,37.49471265653831,-9999.0,1.05,2.45,8.695,521.33
air_quality_PM2.5,120627.0,24.75843350991072,38.22842268555508,0.168,7.15,14.43,28.305,1614.1
air_quality_PM10,120627.0,49.552524816168855,152.78219947995564,-1848.15,10.15,20.45,42.55,6037.29
air_quality_us-epa-index,120627.0,1.714989181526524,0.9543200594280652,1.0,1.0,1.0,2.0,6.0
air_quality_gb-defra-index,120627.0,2.6464804728626263,2.483214274923613,1.0,1.0,2.0,3.0,10.0
moon_illumination,120627.0,49.29227287423214,35.01168726370096,0.0,15.0,49.0,84.0,100.0
