feature,importance
gust_kph,0.5121727732039691
wind_kph_lag_1d,0.1373516989091622
wind_kph_lag_2d,0.08431517444997426
temperature_celsius,0.021898462604235256
air_quality_Ozone,0.02030467239550154
air_quality_Carbon_Monoxide,0.020010519321573706
air_quality_PM2.5,0.01646464166860959
temperature_celsius_lag_2d,0.015087429457078543
longitude,0.014043686310218125
air_quality_Sulphur_dioxide,0.013765471604570728
air_quality_Nitrogen_dioxide,0.012755706877005892
latitude,0.01246456967232528
moon_illumination,0.011746441992818013
temperature_celsius_roll_std_3d,0.010506276674560626
feels_like_celsius,0.009855881792775283
humidity,0.008439481970426807
air_quality_PM10,0.008155180407477548
pressure_mb,0.006834263962964612
country_daily_mean_temp,0.006662362584816546
uv_index_lag_1d,0.006334031245286911
temperature_celsius_roll_mean_3d,0.006181998074728176
day_cos,0.005658133709658116
temperature_celsius_lag_1d,0.0054774817155784535
hour_cos,0.005141176827563287
wind_degree,0.005078656931793557
hour_sin,0.0044329485717587176
uv_index_lag_2d,0.004317190703527607
cloud_cover_lag_2d,0.0033322335907885045
day_sin,0.0026831129551064276
precip_mm,0.0026286966221558366
air_quality_gb-defra-index,0.0018419252152847127
visibility_km,0.0014460426777595198
cloud_cover_lag_1d,0.0013741425301186177
air_quality_us-epa-index,0.001237532768827648
